id,category,issue,keywords,platform,description,do,dont,codeGood,codeBad,severity,source
ux-guidelines-1,Navigation,Smooth Scroll,,Web,Anchor links should scroll smoothly to target section,Use scroll-behavior: smooth on html element,Jump directly without transition,html { scroll-behavior: smooth; },<a href='#section'> without CSS,High,ux-guidelines.csv
ux-guidelines-2,Navigation,Sticky Navigation,,Web,Fixed nav should not obscure content,Add padding-top to body equal to nav height,Let nav overlap first section content,pt-20 (if nav is h-20),No padding compensation,Medium,ux-guidelines.csv
ux-guidelines-3,Navigation,Active State,,All,Current page/section should be visually indicated,Highlight active nav item with color/underline,No visual feedback on current location,text-primary border-b-2,All links same style,Medium,ux-guidelines.csv
ux-guidelines-4,Navigation,Back Button,,Mobile,Users expect back to work predictably,Preserve navigation history properly,Break browser/app back button behavior,history.pushState(),location.replace(),High,ux-guidelines.csv
ux-guidelines-5,Navigation,Deep Linking,,All,URLs should reflect current state for sharing,Update URL on state/view changes,Static URLs for dynamic content,Use query params or hash,Single URL for all states,Medium,ux-guidelines.csv
ux-guidelines-6,Navigation,Breadcrumbs,,Web,Show user location in site hierarchy,Use for sites with 3+ levels of depth,Use for flat single-level sites,Home > Category > Product,Only on deep nested pages,Low,ux-guidelines.csv
ux-guidelines-7,Animation,Excessive Motion,,All,Too many animations cause distraction and motion sickness,Animate 1-2 key elements per view maximum,Animate everything that moves,Single hero animation,animate-bounce on 5+ elements,High,ux-guidelines.csv
ux-guidelines-8,Animation,Duration Timing,,All,Animations should feel responsive not sluggish,Use 150-300ms for micro-interactions,Use animations longer than 500ms for UI,transition-all duration-200,duration-1000,Medium,ux-guidelines.csv
ux-guidelines-9,Animation,Reduced Motion,,All,Respect user's motion preferences,Check prefers-reduced-motion media query,Ignore accessibility motion settings,@media (prefers-reduced-motion: reduce),No motion query check,High,ux-guidelines.csv
ux-guidelines-10,Animation,Loading States,,All,Show feedback during async operations,Use skeleton screens or spinners,Leave UI frozen with no feedback,animate-pulse skeleton,Blank screen while loading,High,ux-guidelines.csv
ux-guidelines-11,Animation,Hover vs Tap,,All,Hover effects don't work on touch devices,Use click/tap for primary interactions,Rely only on hover for important actions,onClick handler,onMouseEnter only,High,ux-guidelines.csv
ux-guidelines-12,Animation,Continuous Animation,,All,Infinite animations are distracting,Use for loading indicators only,Use for decorative elements,animate-spin on loader,animate-bounce on icons,Medium,ux-guidelines.csv
ux-guidelines-13,Animation,Transform Performance,,Web,Some CSS properties trigger expensive repaints,Use transform and opacity for animations,Animate width/height/top/left properties,transform: translateY(),top: 10px animation,Medium,ux-guidelines.csv
ux-guidelines-14,Animation,Easing Functions,,All,Linear motion feels robotic,Use ease-out for entering ease-in for exiting,Use linear for UI transitions,ease-out,linear,Low,ux-guidelines.csv
ux-guidelines-15,Layout,Z-Index Management,,Web,Stacking context conflicts cause hidden elements,Define z-index scale system (10 20 30 50),Use arbitrary large z-index values,z-10 z-20 z-50,z-[9999],High,ux-guidelines.csv
ux-guidelines-16,Layout,Overflow Hidden,,Web,Hidden overflow can clip important content,Test all content fits within containers,Blindly apply overflow-hidden,overflow-auto with scroll,overflow-hidden truncating content,Medium,ux-guidelines.csv
ux-guidelines-17,Layout,Fixed Positioning,,Web,Fixed elements can overlap or be inaccessible,Account for safe areas and other fixed elements,Stack multiple fixed elements carelessly,Fixed nav + fixed bottom with gap,Multiple overlapping fixed elements,Medium,ux-guidelines.csv
ux-guidelines-18,Layout,Stacking Context,,Web,New stacking contexts reset z-index,Understand what creates new stacking context,Expect z-index to work across contexts,Parent with z-index isolates children,z-index: 9999 not working,Medium,ux-guidelines.csv
ux-guidelines-19,Layout,Content Jumping,,Web,Layout shift when content loads is jarring,Reserve space for async content,Let images/content push layout around,aspect-ratio or fixed height,No dimensions on images,High,ux-guidelines.csv
ux-guidelines-20,Layout,Viewport Units,,Web,100vh can be problematic on mobile browsers,Use dvh or account for mobile browser chrome,Use 100vh for full-screen mobile layouts,min-h-dvh or min-h-screen,h-screen on mobile,Medium,ux-guidelines.csv
ux-guidelines-21,Layout,Container Width,,Web,Content too wide is hard to read,Limit max-width for text content (65-75ch),Let text span full viewport width,max-w-prose or max-w-3xl,Full width paragraphs,Medium,ux-guidelines.csv
ux-guidelines-22,Touch,Touch Target Size,,Mobile,Small buttons are hard to tap accurately,Minimum 44x44px touch targets,Tiny clickable areas,min-h-[44px] min-w-[44px],w-6 h-6 buttons,High,ux-guidelines.csv
ux-guidelines-23,Touch,Touch Spacing,,Mobile,Adjacent touch targets need adequate spacing,Minimum 8px gap between touch targets,Tightly packed clickable elements,gap-2 between buttons,gap-0 or gap-1,Medium,ux-guidelines.csv
ux-guidelines-24,Touch,Gesture Conflicts,,Mobile,Custom gestures can conflict with system,Avoid horizontal swipe on main content,Override system gestures,Vertical scroll primary,Horizontal swipe carousel only,Medium,ux-guidelines.csv
ux-guidelines-25,Touch,Tap Delay,,Mobile,300ms tap delay feels laggy,Use touch-action CSS or fastclick,Default mobile tap handling,touch-action: manipulation,No touch optimization,Medium,ux-guidelines.csv
ux-guidelines-26,Touch,Pull to Refresh,,Mobile,Accidental refresh is frustrating,Disable where not needed,Enable by default everywhere,overscroll-behavior: contain,Default overscroll,Low,ux-guidelines.csv
ux-guidelines-27,Touch,Haptic Feedback,,Mobile,Tactile feedback improves interaction feel,Use for confirmations and important actions,Overuse vibration feedback,navigator.vibrate(10),Vibrate on every tap,Low,ux-guidelines.csv
